title,link,rating,duration,fullLink,description,provider
Introduction to Forensic Science,/learn/forensic-science,4.9,Mixed · Course · 1-3 Months,,We have all seen forensic scientists in TV shows, but how do they really work? What is the science behind their work?,Nanyang Technological University, Singapore
Gmail en Español,/learn/gmail-es,4.8,Beginner · Course · 1-3 Months,,Gmail es el servicio de correo electrónico basado en la nube de Google que le permite acceder a sus mensajes desde cualquier computadora o dispositivo con solo un navegador web.,Google Cloud
Google Drive en Español,/learn/google-drive-es,4.6,Beginner · Course · 1-3 Months,,Google Drive es el servicio de almacenamiento de archivos de Google basado en la nube. Con Google Drive, puede guardar todo su trabajo en un lugar, ver diferentes formatos de archivos sin tener que usar software adicional y acceder a sus archivos desde cualquier dispositivo.,Google Cloud
Use vídeos en sus posts de redes sociales con Canva,/projects/use-videos-posts-redes-sociales-canva,,Intermediate · Guided Project · Less Than 2 Hours,,,Coursera Project Network
Un carnet interculturel pour une mobilité universitaire,/learn/carnet-interculturel,,Beginner · Course · 3-6 Months,,Consulter le teaser du MOOC (lien à copier) : https://www.coursera.org/lecture/carnet-interculturel/teaser-H4C3e,Institut Mines-Télécom
Linux: Use NANO editor to edit a Bash Script,/projects/linux-nano-edit-bash-script,,Intermediate · Guided Project · Less Than 2 Hours,,,Coursera Project Network
Gestion de projet Agile,/learn/gestion-de-projet-agile-google,,Beginner · Course · 1-4 Weeks,,Il s’agit du cinquième cours du programme de Certification en gestion de projet Google. Ce cours explorera l’historique, l’approche et la philosophie de la gestion de projet Agile, notamment le cadre Scrum. Vous apprendrez à différencier et à combiner Agile à d’autres approches de gestion de projet. Au fur et à mesure que vous progresserez dans le cours, vous en apprendrez plus sur Scrum, en explorant ses piliers et ses valeurs et en comparant les rôles essentiels de l’équipe Scrum. Vous découvrirez comment créer, gérer et affiner un carnet de produit, mettre en œuvre les stratégies de livraison axées sur la valeur d’Agile et définir une feuille de route de la valeur. Vous apprendrez aussi des stratégies pour organiser efficacement les cinq événements Scrum importants pour une équipe Scrum, introduire une approche Agile ou Scrum dans une organisation et encadrer une équipe Agile. Enfin, vous apprendrez à rechercher et à décrocher des missions dans un poste Agile. Les chefs de projet Google actuels continueront de vous former et de vous fournir les approches pratiques, les outils et les ressources nécessaires pour atteindre vos objectifs.,Google
Organizational Leadership,/specializations/organizational-leadership,4.7,Intermediate · Specialization · 3-6 Months,,Some related experience required.,Northwestern University
Discrete Optimization,/learn/discrete-optimization,4.8,Intermediate · Course · 1-3 Months,,Tired of solving Sudokus by hand? This class teaches you how to solve complex search problems with discrete optimization concepts and algorithms, including constraint programming, local search, and mixed-integer programming.,The University of Melbourne
Big Data – Introducción al uso práctico de datos masivos,/specializations/big-data-introduccion,4.6,Beginner · Specialization · 3-6 Months,,No prior experience required.,Universitat Autònoma de Barcelona
Leadership Through Marketing,/learn/leadership-marketing,4.6,Mixed · Course · 1-4 Weeks,,The success of every organization depends on attracting and retaining customers. Although the marketing concepts for doing so are well established, digital technology has empowered customers, while producing massive amounts of data, revolutionizing the processes through which organizations attract and retain customers. In this course, students will learn how to identify new opportunities to create value for empowered consumers, develop strategies that yield an advantage over rivals, and develop the data science skills to lead more effectively, allocate resources, and to confront this very challenging environment with confidence.,Northwestern University
Organizational Leadership Capstone,/learn/leadership-capstone,4.7,Mixed · Course · 1-3 Months,,The capstone project consists of a case study that must be addressed to complete the specialization.,Northwestern University
Introduction to Forensic Science,/learn/forensic-science,4.9,Mixed · Course · 1-3 Months,,We have all seen forensic scientists in TV shows, but how do they really work? What is the science behind their work?,Nanyang Technological University, Singapore
Gmail en Español,/learn/gmail-es,4.8,Beginner · Course · 1-3 Months,,Gmail es el servicio de correo electrónico basado en la nube de Google que le permite acceder a sus mensajes desde cualquier computadora o dispositivo con solo un navegador web.,Google Cloud
Google Drive en Español,/learn/google-drive-es,4.6,Beginner · Course · 1-3 Months,,Google Drive es el servicio de almacenamiento de archivos de Google basado en la nube. Con Google Drive, puede guardar todo su trabajo en un lugar, ver diferentes formatos de archivos sin tener que usar software adicional y acceder a sus archivos desde cualquier dispositivo.,Google Cloud
Use vídeos en sus posts de redes sociales con Canva,/projects/use-videos-posts-redes-sociales-canva,,Intermediate · Guided Project · Less Than 2 Hours,,,Coursera Project Network
Un carnet interculturel pour une mobilité universitaire,/learn/carnet-interculturel,,Beginner · Course · 3-6 Months,,Consulter le teaser du MOOC (lien à copier) : https://www.coursera.org/lecture/carnet-interculturel/teaser-H4C3e,Institut Mines-Télécom
Linux: Use NANO editor to edit a Bash Script,/projects/linux-nano-edit-bash-script,,Intermediate · Guided Project · Less Than 2 Hours,,,Coursera Project Network
Gestion de projet Agile,/learn/gestion-de-projet-agile-google,,Beginner · Course · 1-4 Weeks,,Il s’agit du cinquième cours du programme de Certification en gestion de projet Google. Ce cours explorera l’historique, l’approche et la philosophie de la gestion de projet Agile, notamment le cadre Scrum. Vous apprendrez à différencier et à combiner Agile à d’autres approches de gestion de projet. Au fur et à mesure que vous progresserez dans le cours, vous en apprendrez plus sur Scrum, en explorant ses piliers et ses valeurs et en comparant les rôles essentiels de l’équipe Scrum. Vous découvrirez comment créer, gérer et affiner un carnet de produit, mettre en œuvre les stratégies de livraison axées sur la valeur d’Agile et définir une feuille de route de la valeur. Vous apprendrez aussi des stratégies pour organiser efficacement les cinq événements Scrum importants pour une équipe Scrum, introduire une approche Agile ou Scrum dans une organisation et encadrer une équipe Agile. Enfin, vous apprendrez à rechercher et à décrocher des missions dans un poste Agile. Les chefs de projet Google actuels continueront de vous former et de vous fournir les approches pratiques, les outils et les ressources nécessaires pour atteindre vos objectifs.,Google
Organizational Leadership,/specializations/organizational-leadership,4.7,Intermediate · Specialization · 3-6 Months,,Some related experience required.,Northwestern University
Discrete Optimization,/learn/discrete-optimization,4.8,Intermediate · Course · 1-3 Months,,Tired of solving Sudokus by hand? This class teaches you how to solve complex search problems with discrete optimization concepts and algorithms, including constraint programming, local search, and mixed-integer programming.,The University of Melbourne
Big Data – Introducción al uso práctico de datos masivos,/specializations/big-data-introduccion,4.6,Beginner · Specialization · 3-6 Months,,No prior experience required.,Universitat Autònoma de Barcelona
Leadership Through Marketing,/learn/leadership-marketing,4.6,Mixed · Course · 1-4 Weeks,,The success of every organization depends on attracting and retaining customers. Although the marketing concepts for doing so are well established, digital technology has empowered customers, while producing massive amounts of data, revolutionizing the processes through which organizations attract and retain customers. In this course, students will learn how to identify new opportunities to create value for empowered consumers, develop strategies that yield an advantage over rivals, and develop the data science skills to lead more effectively, allocate resources, and to confront this very challenging environment with confidence.,Northwestern University
Organizational Leadership Capstone,/learn/leadership-capstone,4.7,Mixed · Course · 1-3 Months,,The capstone project consists of a case study that must be addressed to complete the specialization.,Northwestern University